change_type,action,rule_name,ruleset,file,source_ip,destination_ip,port,protocol,service_name
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.131,10.0.2.132,5432,udp,
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.131,10.0.2.132,5432,tcp,
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.131,10.0.2.132,3306,tcp,
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.131,10.0.2.132,80,tcp,
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.131,10.0.2.133,5432,udp,
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.131,10.0.2.133,5432,tcp,
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.131,10.0.2.133,3306,tcp,
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.131,10.0.2.133,80,tcp,
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.131,10.0.2.2,5432,udp,
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.131,10.0.2.2,5432,tcp,
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.131,10.0.2.2,3306,tcp,
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.131,10.0.2.2,80,tcp,
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.131,10.0.2.66,5432,udp,
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.131,10.0.2.66,5432,tcp,
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.131,10.0.2.66,3306,tcp,
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.131,10.0.2.66,80,tcp,
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.131,10.0.2.72,5432,udp,
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.131,10.0.2.72,5432,tcp,
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.131,10.0.2.72,3306,tcp,
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.131,10.0.2.72,80,tcp,
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.131,10.0.2.8,5432,udp,
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.131,10.0.2.8,5432,tcp,
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.131,10.0.2.8,3306,tcp,
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.131,10.0.2.8,80,tcp,
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.134,10.0.2.132,5432,udp,
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.134,10.0.2.132,5432,tcp,
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.134,10.0.2.132,3306,tcp,
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.134,10.0.2.132,80,tcp,
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.134,10.0.2.133,5432,udp,
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.134,10.0.2.133,5432,tcp,
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.134,10.0.2.133,3306,tcp,
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.134,10.0.2.133,80,tcp,
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.134,10.0.2.2,5432,udp,
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.134,10.0.2.2,5432,tcp,
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.134,10.0.2.2,3306,tcp,
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.134,10.0.2.2,80,tcp,
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.134,10.0.2.66,5432,udp,
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.134,10.0.2.66,5432,tcp,
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.134,10.0.2.66,3306,tcp,
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.134,10.0.2.66,80,tcp,
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.134,10.0.2.72,5432,udp,
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.134,10.0.2.72,5432,tcp,
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.134,10.0.2.72,3306,tcp,
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.134,10.0.2.72,80,tcp,
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.134,10.0.2.8,5432,udp,
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.134,10.0.2.8,5432,tcp,
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.134,10.0.2.8,3306,tcp,
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.134,10.0.2.8,80,tcp,
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.136,10.0.2.132,5432,udp,
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.136,10.0.2.132,5432,tcp,
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.136,10.0.2.132,3306,tcp,
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.136,10.0.2.132,80,tcp,
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.136,10.0.2.133,5432,udp,
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.136,10.0.2.133,5432,tcp,
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.136,10.0.2.133,3306,tcp,
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.136,10.0.2.133,80,tcp,
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.136,10.0.2.2,5432,udp,
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.136,10.0.2.2,5432,tcp,
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.136,10.0.2.2,3306,tcp,
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.136,10.0.2.2,80,tcp,
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.136,10.0.2.66,5432,udp,
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.136,10.0.2.66,5432,tcp,
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.136,10.0.2.66,3306,tcp,
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.136,10.0.2.66,80,tcp,
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.136,10.0.2.72,5432,udp,
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.136,10.0.2.72,5432,tcp,
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.136,10.0.2.72,3306,tcp,
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.136,10.0.2.72,80,tcp,
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.136,10.0.2.8,5432,udp,
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.136,10.0.2.8,5432,tcp,
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.136,10.0.2.8,3306,tcp,
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.136,10.0.2.8,80,tcp,
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.3,10.0.2.132,5432,udp,
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.3,10.0.2.132,5432,tcp,
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.3,10.0.2.132,3306,tcp,
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.3,10.0.2.132,80,tcp,
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.3,10.0.2.133,5432,udp,
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.3,10.0.2.133,5432,tcp,
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.3,10.0.2.133,3306,tcp,
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.3,10.0.2.133,80,tcp,
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.3,10.0.2.2,5432,udp,
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.3,10.0.2.2,5432,tcp,
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.3,10.0.2.2,3306,tcp,
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.3,10.0.2.2,80,tcp,
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.3,10.0.2.66,5432,udp,
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.3,10.0.2.66,5432,tcp,
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.3,10.0.2.66,3306,tcp,
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.3,10.0.2.66,80,tcp,
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.3,10.0.2.72,5432,udp,
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.3,10.0.2.72,5432,tcp,
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.3,10.0.2.72,3306,tcp,
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.3,10.0.2.72,80,tcp,
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.3,10.0.2.8,5432,udp,
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.3,10.0.2.8,5432,tcp,
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.3,10.0.2.8,3306,tcp,
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.3,10.0.2.8,80,tcp,
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.4,10.0.2.132,5432,udp,
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.4,10.0.2.132,5432,tcp,
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.4,10.0.2.132,3306,tcp,
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.4,10.0.2.132,80,tcp,
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.4,10.0.2.133,5432,udp,
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.4,10.0.2.133,5432,tcp,
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.4,10.0.2.133,3306,tcp,
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.4,10.0.2.133,80,tcp,
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.4,10.0.2.2,5432,udp,
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.4,10.0.2.2,5432,tcp,
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.4,10.0.2.2,3306,tcp,
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.4,10.0.2.2,80,tcp,
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.4,10.0.2.66,5432,udp,
added,allow,"processing → db : postgresql, postgresql, mysql, http",plugger-auto | pos | staging | tiered,scopes/app-pos_env-staging/plugger-auto-pos-staging-tiered.yaml,10.0.2.4,10.0.2.66,5432,tcp,
