change_type,action,rule_name,ruleset,file,source_ip,destination_ip,port,protocol,service_name
added,allow,"payment,prod,db → db : postgresql, postgresql (extra-scope)",pos | staging,scopes/app-pos_env-staging/pos-staging.yaml,10.0.1.200,10.0.2.132,5432,udp,
added,allow,"payment,prod,db → db : postgresql, postgresql (extra-scope)",pos | staging,scopes/app-pos_env-staging/pos-staging.yaml,10.0.1.200,10.0.2.132,5432,tcp,
added,allow,"payment,prod,db → db : postgresql, postgresql (extra-scope)",pos | staging,scopes/app-pos_env-staging/pos-staging.yaml,10.0.1.200,10.0.2.133,5432,udp,
added,allow,"payment,prod,db → db : postgresql, postgresql (extra-scope)",pos | staging,scopes/app-pos_env-staging/pos-staging.yaml,10.0.1.200,10.0.2.133,5432,tcp,
added,allow,"payment,prod,db → db : postgresql, postgresql (extra-scope)",pos | staging,scopes/app-pos_env-staging/pos-staging.yaml,10.0.1.200,10.0.2.2,5432,udp,
added,allow,"payment,prod,db → db : postgresql, postgresql (extra-scope)",pos | staging,scopes/app-pos_env-staging/pos-staging.yaml,10.0.1.200,10.0.2.2,5432,tcp,
added,allow,"payment,prod,db → db : postgresql, postgresql (extra-scope)",pos | staging,scopes/app-pos_env-staging/pos-staging.yaml,10.0.1.200,10.0.2.66,5432,udp,
added,allow,"payment,prod,db → db : postgresql, postgresql (extra-scope)",pos | staging,scopes/app-pos_env-staging/pos-staging.yaml,10.0.1.200,10.0.2.66,5432,tcp,
added,allow,"payment,prod,db → db : postgresql, postgresql (extra-scope)",pos | staging,scopes/app-pos_env-staging/pos-staging.yaml,10.0.1.200,10.0.2.72,5432,udp,
added,allow,"payment,prod,db → db : postgresql, postgresql (extra-scope)",pos | staging,scopes/app-pos_env-staging/pos-staging.yaml,10.0.1.200,10.0.2.72,5432,tcp,
added,allow,"payment,prod,db → db : postgresql, postgresql (extra-scope)",pos | staging,scopes/app-pos_env-staging/pos-staging.yaml,10.0.1.200,10.0.2.8,5432,udp,
added,allow,"payment,prod,db → db : postgresql, postgresql (extra-scope)",pos | staging,scopes/app-pos_env-staging/pos-staging.yaml,10.0.1.200,10.0.2.8,5432,tcp,
added,allow,"payment,prod,db → db : postgresql, postgresql (extra-scope)",pos | staging,scopes/app-pos_env-staging/pos-staging.yaml,10.0.1.206,10.0.2.132,5432,udp,
added,allow,"payment,prod,db → db : postgresql, postgresql (extra-scope)",pos | staging,scopes/app-pos_env-staging/pos-staging.yaml,10.0.1.206,10.0.2.132,5432,tcp,
added,allow,"payment,prod,db → db : postgresql, postgresql (extra-scope)",pos | staging,scopes/app-pos_env-staging/pos-staging.yaml,10.0.1.206,10.0.2.133,5432,udp,
added,allow,"payment,prod,db → db : postgresql, postgresql (extra-scope)",pos | staging,scopes/app-pos_env-staging/pos-staging.yaml,10.0.1.206,10.0.2.133,5432,tcp,
added,allow,"payment,prod,db → db : postgresql, postgresql (extra-scope)",pos | staging,scopes/app-pos_env-staging/pos-staging.yaml,10.0.1.206,10.0.2.2,5432,udp,
added,allow,"payment,prod,db → db : postgresql, postgresql (extra-scope)",pos | staging,scopes/app-pos_env-staging/pos-staging.yaml,10.0.1.206,10.0.2.2,5432,tcp,
added,allow,"payment,prod,db → db : postgresql, postgresql (extra-scope)",pos | staging,scopes/app-pos_env-staging/pos-staging.yaml,10.0.1.206,10.0.2.66,5432,udp,
added,allow,"payment,prod,db → db : postgresql, postgresql (extra-scope)",pos | staging,scopes/app-pos_env-staging/pos-staging.yaml,10.0.1.206,10.0.2.66,5432,tcp,
added,allow,"payment,prod,db → db : postgresql, postgresql (extra-scope)",pos | staging,scopes/app-pos_env-staging/pos-staging.yaml,10.0.1.206,10.0.2.72,5432,udp,
added,allow,"payment,prod,db → db : postgresql, postgresql (extra-scope)",pos | staging,scopes/app-pos_env-staging/pos-staging.yaml,10.0.1.206,10.0.2.72,5432,tcp,
added,allow,"payment,prod,db → db : postgresql, postgresql (extra-scope)",pos | staging,scopes/app-pos_env-staging/pos-staging.yaml,10.0.1.206,10.0.2.8,5432,udp,
added,allow,"payment,prod,db → db : postgresql, postgresql (extra-scope)",pos | staging,scopes/app-pos_env-staging/pos-staging.yaml,10.0.1.206,10.0.2.8,5432,tcp,
added,allow,"payment,prod,db → db : postgresql, postgresql (extra-scope)",pos | staging,scopes/app-pos_env-staging/pos-staging.yaml,10.0.1.81,10.0.2.132,5432,udp,
added,allow,"payment,prod,db → db : postgresql, postgresql (extra-scope)",pos | staging,scopes/app-pos_env-staging/pos-staging.yaml,10.0.1.81,10.0.2.132,5432,tcp,
added,allow,"payment,prod,db → db : postgresql, postgresql (extra-scope)",pos | staging,scopes/app-pos_env-staging/pos-staging.yaml,10.0.1.81,10.0.2.133,5432,udp,
added,allow,"payment,prod,db → db : postgresql, postgresql (extra-scope)",pos | staging,scopes/app-pos_env-staging/pos-staging.yaml,10.0.1.81,10.0.2.133,5432,tcp,
added,allow,"payment,prod,db → db : postgresql, postgresql (extra-scope)",pos | staging,scopes/app-pos_env-staging/pos-staging.yaml,10.0.1.81,10.0.2.2,5432,udp,
added,allow,"payment,prod,db → db : postgresql, postgresql (extra-scope)",pos | staging,scopes/app-pos_env-staging/pos-staging.yaml,10.0.1.81,10.0.2.2,5432,tcp,
added,allow,"payment,prod,db → db : postgresql, postgresql (extra-scope)",pos | staging,scopes/app-pos_env-staging/pos-staging.yaml,10.0.1.81,10.0.2.66,5432,udp,
added,allow,"payment,prod,db → db : postgresql, postgresql (extra-scope)",pos | staging,scopes/app-pos_env-staging/pos-staging.yaml,10.0.1.81,10.0.2.66,5432,tcp,
added,allow,"payment,prod,db → db : postgresql, postgresql (extra-scope)",pos | staging,scopes/app-pos_env-staging/pos-staging.yaml,10.0.1.81,10.0.2.72,5432,udp,
added,allow,"payment,prod,db → db : postgresql, postgresql (extra-scope)",pos | staging,scopes/app-pos_env-staging/pos-staging.yaml,10.0.1.81,10.0.2.72,5432,tcp,
added,allow,"payment,prod,db → db : postgresql, postgresql (extra-scope)",pos | staging,scopes/app-pos_env-staging/pos-staging.yaml,10.0.1.81,10.0.2.8,5432,udp,
added,allow,"payment,prod,db → db : postgresql, postgresql (extra-scope)",pos | staging,scopes/app-pos_env-staging/pos-staging.yaml,10.0.1.81,10.0.2.8,5432,tcp,
added,allow,"payment,prod,db → db : postgresql, postgresql (extra-scope)",pos | staging,scopes/app-pos_env-staging/pos-staging.yaml,10.0.1.85,10.0.2.132,5432,udp,
added,allow,"payment,prod,db → db : postgresql, postgresql (extra-scope)",pos | staging,scopes/app-pos_env-staging/pos-staging.yaml,10.0.1.85,10.0.2.132,5432,tcp,
added,allow,"payment,prod,db → db : postgresql, postgresql (extra-scope)",pos | staging,scopes/app-pos_env-staging/pos-staging.yaml,10.0.1.85,10.0.2.133,5432,udp,
added,allow,"payment,prod,db → db : postgresql, postgresql (extra-scope)",pos | staging,scopes/app-pos_env-staging/pos-staging.yaml,10.0.1.85,10.0.2.133,5432,tcp,
added,allow,"payment,prod,db → db : postgresql, postgresql (extra-scope)",pos | staging,scopes/app-pos_env-staging/pos-staging.yaml,10.0.1.85,10.0.2.2,5432,udp,
added,allow,"payment,prod,db → db : postgresql, postgresql (extra-scope)",pos | staging,scopes/app-pos_env-staging/pos-staging.yaml,10.0.1.85,10.0.2.2,5432,tcp,
added,allow,"payment,prod,db → db : postgresql, postgresql (extra-scope)",pos | staging,scopes/app-pos_env-staging/pos-staging.yaml,10.0.1.85,10.0.2.66,5432,udp,
added,allow,"payment,prod,db → db : postgresql, postgresql (extra-scope)",pos | staging,scopes/app-pos_env-staging/pos-staging.yaml,10.0.1.85,10.0.2.66,5432,tcp,
added,allow,"payment,prod,db → db : postgresql, postgresql (extra-scope)",pos | staging,scopes/app-pos_env-staging/pos-staging.yaml,10.0.1.85,10.0.2.72,5432,udp,
added,allow,"payment,prod,db → db : postgresql, postgresql (extra-scope)",pos | staging,scopes/app-pos_env-staging/pos-staging.yaml,10.0.1.85,10.0.2.72,5432,tcp,
added,allow,"payment,prod,db → db : postgresql, postgresql (extra-scope)",pos | staging,scopes/app-pos_env-staging/pos-staging.yaml,10.0.1.85,10.0.2.8,5432,udp,
added,allow,"payment,prod,db → db : postgresql, postgresql (extra-scope)",pos | staging,scopes/app-pos_env-staging/pos-staging.yaml,10.0.1.85,10.0.2.8,5432,tcp,
